Dataset,Split,Classifier,Accuracy,F1
Heart,20_80,LR,0.824390243902439,0.8348623853211009
Heart,20_80,DT,0.8036585365853659,0.807185628742515
Heart,20_80,RF,0.8890243902439025,0.8938156359393232
Heart,20_80,KNN,0.651219512195122,0.6705069124423964
Heart,20_80,SVM,0.6560975609756098,0.7044025157232704
Heart,50_50,LR,0.8382066276803118,0.8520499108734403
Heart,50_50,DT,0.9610136452241715,0.9615384615384616
Heart,50_50,RF,0.9668615984405458,0.967984934086629
Heart,50_50,KNN,0.7037037037037037,0.7088122605363985
Heart,50_50,SVM,0.6998050682261209,0.7230215827338129
Heart,80_20,LR,0.8146341463414634,0.8362068965517241
Heart,80_20,DT,0.9853658536585366,0.9855072463768116
Heart,80_20,RF,1.0,1.0
Heart,80_20,KNN,0.697560975609756,0.6990291262135923
Heart,80_20,SVM,0.7170731707317073,0.7410714285714286
Adult,20_80,LR,0.8406547865727311,0.646631743405937
Adult,20_80,DT,0.8008288437629507,0.6095857026807474
Adult,20_80,RF,0.847326978864484,0.6692998204667864
Adult,20_80,KNN,0.7583920430998756,0.34228339350180503
Adult,20_80,SVM,0.7692084542063821,0.13699054703238803
Adult,50_50,LR,0.8468934420794377,0.6570622308035051
Adult,50_50,DT,0.8103574033552152,0.6186666666666667
Adult,50_50,RF,0.8505404150918374,0.6736171445120185
Adult,50_50,KNN,0.7665937272064187,0.3916349809885932
Adult,50_50,SVM,0.7793249784497049,0.20686367969494757
Adult,80_20,LR,0.8478368970661363,0.6574626865671642
Adult,80_20,DT,0.8155146693187469,0.6288762920973658
Adult,80_20,RF,0.8549643626719708,0.6844572664983772
Adult,80_20,KNN,0.7691032653737776,0.41544271926143517
Adult,80_20,SVM,0.7884966020222112,0.26582278481012656
WineRed,20_80,LR,0.88046875,0.42696629213483145
WineRed,20_80,DT,0.828125,0.40860215053763443
WineRed,20_80,RF,0.896875,0.48031496062992124
WineRed,20_80,KNN,0.85625,0.2
WineRed,20_80,SVM,0.8640625,0.0
WineRed,50_50,LR,0.88625,0.3973509933774834
WineRed,50_50,DT,0.845,0.44642857142857145
WineRed,50_50,RF,0.91125,0.5696969696969697
WineRed,50_50,KNN,0.8575,0.2692307692307692
WineRed,50_50,SVM,0.86375,0.0
WineRed,80_20,LR,0.89375,0.45161290322580644
WineRed,80_20,DT,0.9,0.6444444444444445
WineRed,80_20,RF,0.94375,0.75
WineRed,80_20,KNN,0.859375,0.3076923076923077
WineRed,80_20,SVM,0.865625,0.0
Bank,20_80,LR,0.8973801812143823,0.49809504712251856
Bank,20_80,DT,0.8783157722110615,0.5352333228938303
Bank,20_80,RF,0.899799106227707,0.5235867446393763
Bank,20_80,KNN,0.892829322291009,0.5370173574211832
Bank,20_80,SVM,0.8853675536058382,0.3223460979156568
Bank,50_50,LR,0.8982550511676726,0.5087108013937283
Bank,50_50,DT,0.8791655733403306,0.5227979274611398
Bank,50_50,RF,0.9028470217790606,0.5609249925882004
Bank,50_50,KNN,0.891432694830753,0.5267372033171289
Bank,50_50,SVM,0.8839543426922067,0.32558139534883723
Bank,80_20,LR,0.8943916038045261,0.5023183925811437
Bank,80_20,DT,0.8715972449983601,0.5103189493433395
Bank,80_20,RF,0.8986552968186291,0.5401785714285714
Bank,80_20,KNN,0.8920957691046245,0.5346534653465347
Bank,80_20,SVM,0.8819285011479173,0.31947069943289225
